1301 東証1部 (株)極洋（水産・農林業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","2860","2873","2851","2862","25700","2862"
"2020-01-07","2864","2907","2864","2898","30300","2898"
"2020-01-08","2892","2908","2855","2903","30300","2903"
"2020-01-09","2911","2949","2911","2933","31500","2933"
"2020-01-10","2940","2942","2924","2932","11600","2932"
"2020-01-14","2930","2931","2912","2913","15900","2913"
"2020-01-15","2910","2937","2899","2935","29300","2935"
"2020-01-16","2925","2947","2925","2936","13100","2936"
"2020-01-17","2945","2947","2934","2937","17000","2937"
"2020-01-20","2948","2948","2935","2942","14200","2942"
"2020-01-21","2950","2950","2936","2943","9800","2943"
"2020-01-22","2943","2948","2934","2936","13000","2936"
"2020-01-23","2932","2939","2909","2911","19400","2911"
"2020-01-24","2912","2914","2885","2885","18700","2885"
"2020-01-27","2880","2890","2858","2870","17400","2870"
"2020-01-28","2865","2875","2847","2863","27800","2863"
"2020-01-29","2864","2874","2863","2868","9600","2868"
"2020-01-30","2862","2862","2808","2824","44700","2824"
"2020-01-31","2845","2856","2839","2839","12300","2839"
"2020-02-03","2830","2835","2800","2825","25000","2825"
"2020-02-04","2824","2860","2821","2860","11400","2860"
"2020-02-05","2877","2892","2866","2872","17700","2872"
"2020-02-06","2872","2898","2872","2882","18200","2882"
"2020-02-07","2887","2895","2871","2888","13100","2888"
"2020-02-10","2885","2909","2885","2904","15700","2904"
"2020-02-12","2909","2923","2883","2883","22500","2883"
"2020-02-13","2884","2890","2856","2859","22800","2859"
"2020-02-14","2860","2874","2841","2874","19900","2874"
"2020-02-17","2860","2861","2835","2844","16500","2844"
"2020-02-18","2855","2855","2810","2815","27500","2815"
"2020-02-19","2815","2840","2815","2825","11400","2825"
"2020-02-20","2850","2850","2800","2800","25500","2800"
"2020-02-21","2798","2810","2796","2798","13500","2798"
"2020-02-25","2750","2750","2687","2719","57000","2719"
"2020-02-26","2709","2727","2693","2719","33500","2719"
"2020-02-27","2727","2727","2676","2676","38600","2676"
"2020-02-28","2610","2623","2576","2579","56100","2579"
"2020-03-02","2562","2690","2554","2660","50400","2660"
"2020-03-03","2749","2749","2627","2628","43500","2628"
"2020-03-04","2628","2649","2601","2614","27500","2614"
"2020-03-05","2657","2731","2621","2625","29600","2625"
"2020-03-06","2620","2639","2606","2606","37600","2606"
"2020-03-09","2575","2580","2502","2508","70300","2508"
"2020-03-10","2410","2543","2373","2521","73500","2521"
"2020-03-11","2533","2568","2523","2526","39900","2526"
"2020-03-12","2505","2505","2403","2446","56300","2446"
"2020-03-13","2255","2326","2202","2289","96800","2289"
"2020-03-16","2339","2383","2290","2296","64000","2296"
"2020-03-17","2289","2467","2250","2456","72200","2456"
"2020-03-18","2502","2528","2416","2431","45600","2431"
"2020-03-19","2439","2458","2319","2423","109400","2423"
"2020-03-23","2424","2546","2394","2546","57900","2546"
"2020-03-24","2575","2595","2533","2575","49000","2575"
"2020-03-25","2625","2669","2589","2663","49400","2663"
"2020-03-26","2650","2714","2601","2689","65000","2689"
"2020-03-27","2718","2757","2687","2757","139800","2757"
"2020-03-30","2600","2624","2507","2619","98400","2619"
"2020-03-31","2600","2605","2510","2545","46700","2545"
"2020-04-01","2517","2557","2498","2517","56000","2517"
"2020-04-02","2467","2539","2446","2512","44400","2512"
"2020-04-03","2481","2530","2456","2496","31300","2496"
"2020-04-06","2450","2527","2450","2504","29600","2504"
"2020-04-07","2550","2560","2495","2555","27900","2555"
"2020-04-08","2556","2631","2532","2597","40500","2597"
"2020-04-09","2584","2600","2511","2553","26600","2553"
"2020-04-10","2543","2552","2494","2539","18900","2539"
"2020-04-13","2501","2550","2501","2541","19700","2541"
"2020-04-14","2553","2565","2527","2547","19700","2547"
"2020-04-15","2540","2560","2510","2531","18400","2531"
"2020-04-16","2531","2601","2530","2601","21800","2601"
"2020-04-17","2600","2615","2545","2557","20800","2557"
"2020-04-20","2557","2557","2526","2541","17800","2541"
"2020-04-21","2534","2563","2519","2545","20100","2545"
"2020-04-22","2547","2554","2514","2538","14600","2538"
"2020-04-23","2521","2546","2513","2544","15500","2544"
"2020-04-24","2527","2540","2514","2530","15500","2530"
"2020-04-27","2530","2536","2506","2532","21600","2532"
"2020-04-28","2534","2568","2511","2548","21100","2548"
"2020-04-30","2584","2592","2548","2579","24500","2579"
"2020-05-01","2579","2582","2525","2526","14800","2526"
"2020-05-07","2526","2539","2512","2525","11100","2525"
"2020-05-08","2527","2549","2520","2547","12600","2547"
"2020-05-11","2555","2582","2547","2582","7200","2582"
"2020-05-12","2590","2628","2570","2612","21300","2612"
"2020-05-13","2634","2684","2634","2682","32400","2682"
"2020-05-14","2684","2684","2630","2630","13100","2630"
