Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,214.0,216.0,212.0,215.0,215.0,14000
2021-01-05,215.0,216.0,214.0,216.0,216.0,2100
2021-01-06,213.0,216.0,213.0,214.0,214.0,3200
2021-01-07,214.0,216.0,214.0,216.0,216.0,1800
2021-01-08,215.0,216.0,213.0,213.0,213.0,4300
2021-01-12,215.0,215.0,215.0,215.0,215.0,1400
2021-01-13,215.0,215.0,213.0,214.0,214.0,5900
2021-01-14,214.0,215.0,213.0,213.0,213.0,6700
2021-01-15,213.0,214.0,212.0,213.0,213.0,5300
2021-01-18,214.0,214.0,214.0,214.0,214.0,200
2021-01-19,213.0,215.0,213.0,213.0,213.0,3700
2021-01-20,215.0,215.0,212.0,214.0,214.0,4900
2021-01-21,214.0,214.0,212.0,214.0,214.0,6200
2021-01-22,214.0,215.0,213.0,215.0,215.0,2200
2021-01-25,214.0,214.0,213.0,214.0,214.0,6200
2021-01-26,213.0,213.0,211.0,212.0,212.0,5200
2021-01-27,212.0,214.0,212.0,212.0,212.0,5500
2021-01-28,212.0,213.0,212.0,213.0,213.0,4400
2021-01-29,214.0,214.0,213.0,213.0,213.0,3800
2021-02-01,214.0,214.0,211.0,214.0,214.0,4700
2021-02-02,214.0,214.0,212.0,212.0,212.0,3900
2021-02-03,213.0,214.0,213.0,213.0,213.0,11100
2021-02-04,214.0,214.0,213.0,214.0,214.0,2700
2021-02-05,214.0,215.0,214.0,215.0,215.0,4600
2021-02-08,218.0,218.0,214.0,216.0,216.0,17600
2021-02-09,216.0,217.0,215.0,215.0,215.0,4800
2021-02-10,216.0,217.0,215.0,215.0,215.0,6100
2021-02-12,217.0,217.0,215.0,217.0,217.0,6200
2021-02-15,217.0,217.0,216.0,216.0,216.0,7800
2021-02-16,215.0,216.0,214.0,214.0,214.0,9300
2021-02-17,214.0,215.0,213.0,214.0,214.0,10400
2021-02-18,214.0,215.0,213.0,213.0,213.0,16300
2021-02-19,215.0,216.0,213.0,213.0,213.0,10100
2021-02-22,217.0,217.0,214.0,215.0,215.0,10600
2021-02-24,215.0,217.0,215.0,216.0,216.0,7600
2021-02-25,216.0,217.0,215.0,215.0,215.0,8300
2021-02-26,216.0,216.0,214.0,215.0,215.0,4400
2021-03-01,216.0,217.0,215.0,215.0,215.0,2700
2021-03-02,216.0,217.0,215.0,217.0,217.0,900
2021-03-03,218.0,218.0,216.0,216.0,216.0,8600
2021-03-04,216.0,216.0,214.0,214.0,214.0,15700
2021-03-05,215.0,215.0,215.0,215.0,215.0,2800
2021-03-08,216.0,218.0,215.0,215.0,215.0,6500
2021-03-09,216.0,217.0,215.0,217.0,217.0,3200
2021-03-10,216.0,216.0,215.0,216.0,216.0,1200
