日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,乖離率（25日平均）,乖離率（75日平均）,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,75日平均変動率,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,25営業日後騰落率,75営業日後騰落率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価,出来高変化率,25日平均変動率,25日平均変動率差,75日平均変動率差
2007-09-03,2800,2850,2760,2795,304800,2795,,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.1198568872987477,-0.1323792486583184,-0.2075134168157424,-0.4318425760286225,,,,1.0,,,
2007-09-04,2775,2790,2715,2760,259800,2760,,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.1141304347826086,-0.1231884057971014,-0.1992753623188405,-0.4152173913043478,,,,0.8523622047244095,,,
2007-09-05,2705,2705,2570,2600,185100,2600,,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0269230769230769,-0.0596153846153846,-0.1423076923076923,-0.3838461538461538,,,,0.7124711316397229,,,
2007-09-06,2440,2540,2440,2450,347300,2450,,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,0.0306122448979591,-0.0244897959183673,-0.1020408163265306,-0.3465306122448979,,,,1.876283090221502,,,
2007-09-07,2450,2465,2315,2395,671600,2395,2600.0,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,0.0187891440501043,-0.0271398747390396,-0.0751565762004175,-0.3331941544885177,,,,1.9337748344370864,,,
2007-09-10,2395,2505,2380,2460,183100,2460,2533.0,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0142276422764227,-0.065040650406504,-0.089430894308943,-0.3699186991869919,,,,0.27263251935676,,,
2007-09-11,2430,2475,2420,2445,139500,2445,2470.0,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0102249488752556,-0.0429447852760736,-0.0797546012269938,-0.3865030674846625,,,,0.7618787547788094,,,
2007-09-12,2420,2570,2420,2530,283900,2530,2456.0,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.033596837944664,-0.0968379446640316,-0.1383399209486166,-0.3952569169960474,,,,2.035125448028674,,,
2007-09-13,2505,2540,2505,2525,135100,2525,2471.0,,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0534653465346534,-0.0851485148514851,-0.1445544554455445,-0.3825742574257426,,,,0.4758717858400845,,,
2007-09-14,2500,2500,2405,2440,129300,2440,2480.0,2540.0,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0450819672131147,-0.0573770491803278,-0.1536885245901639,-0.3627049180327868,-0.3820472440944882,,,0.9570688378978536,,,
2007-09-18,2350,2425,2310,2425,125500,2425,2473.0,2503.0,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0515463917525773,-0.0412371134020618,-0.1670103092783505,-0.3525773195876289,-0.3736316420295645,,,0.9706109822119104,,,
2007-09-19,2345,2450,2345,2420,94600,2420,2468.0,2469.0,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0330578512396694,-0.0537190082644628,-0.1797520661157025,-0.3512396694214876,-0.3667881733495342,,,0.7537848605577689,,,
2007-09-20,2415,2465,2350,2445,77300,2445,2451.0,2453.5,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.065439672801636,-0.0715746421267893,-0.1942740286298568,-0.3660531697341513,-0.36490727532097,,,0.8171247357293869,,,
2007-09-21,2460,2465,2375,2390,68900,2390,2424.0,2447.5,,,,,,False,False,False,False,False,False,False,False,,False,False,False,-0.0334728033472803,-0.0753138075313807,-0.2138075313807531,-0.3430962343096234,-0.3646169560776303,,,0.8913324708926261,,,
