日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価
2007-02-19,441.6666666666666,448.3333333333333,362.5,375.0,404300.0,375.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1488,-0.3,,,,,-0.2466666666666666,-0.3621333333333333,True,,,
2007-02-20,358.3333333333333,363.3333333333333,336.66666666666663,350.0,85800.0,350.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1214285714285714,-0.2308571428571429,,,,,-0.1834285714285713,-0.3131428571428571,True,,,
2007-02-21,345.8333333333333,345.8333333333333,319.16666666666663,325.0,34200.0,325.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0615384615384615,-0.1870769230769231,,,,,-0.1024615384615384,-0.2550769230769231,True,,,
2007-02-22,329.1324675324676,334.1319480519481,304.135064935065,320.8,51200.0,320.8,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1168952618453865,-0.1817331670822942,,,,,-0.09071072319202,-0.2531172069825437,True,,,
2007-02-23,317.46567567567564,318.2989189189189,304.13378378378377,308.3,29700.0,308.3,335.82,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0862795977943562,-0.1349335063250081,,,,,-0.0755757379176127,-0.2040220564385339,True,,,
2007-02-26,316.69973890339423,325.0339425587468,310.03237597911226,319.2,23900.0,319.2,324.66,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1776315789473684,-0.1723057644110275,,,,,-0.1096491228070175,-0.2192982456140351,True,,,
2007-02-27,316.66666666666663,316.66666666666663,302.5,307.5,12700.0,307.5,316.16,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1245528455284553,-0.1112195121951219,,,,,-0.065040650406504,-0.1599999999999999,True,,,
2007-02-28,278.3333333333333,305.0,276.66666666666663,305.0,20000.0,305.0,312.16,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1337704918032787,-0.1255737704918033,,,,,-0.0763934426229508,-0.1613114754098359,True,,,
2007-03-01,300.7979411764706,303.29764705882354,269.13500000000005,283.3,17300.0,283.3,304.66,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0734204024002824,-0.0204729968231557,,,,,-0.0088245675961877,-0.0529474055771267,True,,,
2007-03-02,279.1997041420118,295.0349112426035,275.8659763313609,281.7,10800.0,281.7,299.34000000000003,317.58000000000004,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0532481363152289,-0.0237841675541355,,,,,0.0,-0.0354987575434859,True,-0.2096479627180554,,
2007-03-05,279.16666666666663,279.16666666666663,262.5,262.5,10200.0,262.5,288.0,306.33000000000004,,,,False,False,False,False,False,False,False,False,False,False,False,0.0064761904761904,0.1302857142857142,,,,,0.0636190476190475,0.003047619047619,True,-0.1727548721966507,,
2007-03-06,261.69907120743034,272.5337461300309,261.69907120743034,269.2,7900.0,269.2,280.34000000000003,298.24999999999994,,,,False,False,False,False,False,False,False,False,False,False,False,0.0152303120356613,0.0895245170876672,,,,,0.0523774145616642,-0.0156017830609212,True,-0.1420955574182731,,
2007-03-07,274.201261829653,274.201261829653,264.2,264.2,5400.0,264.2,272.18,292.17,,,,False,False,False,False,False,False,False,False,False,False,False,0.0094625283875851,0.1260408781226344,,,,,0.0628311884935655,-0.0034065102195305,True,-0.11698668583359,,
2007-03-08,263.3333333333333,265.8333333333333,261.66666666666663,262.5,3300.0,262.5,268.02000000000004,286.34,,,,False,False,False,False,False,False,False,False,False,False,False,0.0571428571428571,0.1112380952380951,,,,,0.0666666666666666,0.003047619047619,True,-0.0907312984563804,,
2007-03-09,265.8665625,266.7,260.8659375,266.7,7800.0,266.7,265.02000000000004,282.17999999999995,,,,False,False,False,False,False,False,False,False,False,False,False,0.0311211098612673,0.115485564304462,,,,,0.0622422197225347,0.0,True,-0.069778155787086,,
2007-03-12,265.8668769716088,267.5337539432177,264.2,264.2,4300.0,264.2,265.36,276.67999999999995,,,,False,False,False,False,False,False,False,False,False,False,False,0.1230128690386071,0.0692657077971234,,,,,0.0598031794095382,0.0094625283875851,True,-0.0449616885933208,,
2007-03-13,268.3006097560976,277.4661585365854,265.80091463414635,273.3,8700.0,273.3,266.18,273.26,,,,False,False,False,False,False,False,False,False,False,False,False,0.0731796560556165,0.0457372850347603,,,,,0.0182949140139041,-0.0182949140139041,True,-0.0293493376271684,,
2007-03-14,264.1996875,272.5340625,261.699375,266.7,4500.0,266.7,266.68,269.43,,,,False,False,False,False,False,False,False,False,False,False,False,0.115485564304462,0.0937382827146606,,,,,0.0217472815898013,0.0,True,-0.0115057714434176,,
