日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価,出来高変化率,25日平均変動率,25日平均変動率差,75日平均変動率差
1990-01-04,10700.0,10700.0,10400.0,10400.0,117000.0,10400.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0384615384615384,-0.0625,,,,,-0.0403846153846153,-0.4038461538461538,,,,,1.0,,,
1990-01-05,10400.0,10500.0,10000.0,10200.0,82000.0,10200.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0372549019607843,-0.0431372549019607,,,,,-0.0205882352941176,-0.3450980392156862,,,,,0.7008547008547008,,,
1990-01-08,10000.0,10300.0,10000.0,10100.0,75000.0,10100.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0485148514851485,-0.0198019801980198,,,,,-0.0118811881188118,-0.3277227722772277,,,,,0.9146341463414634,,,
1990-01-09,10100.0,10200.0,9840.0,9910.0,132000.0,9910.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0292633703329969,0.0010090817356205,,,,,0.0090817356205852,-0.3239152371342079,,,,,1.76,,,
1990-01-10,9820.0,10000.0,9800.0,10000.0,82000.0,10000.0,10122.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.019,-0.023,,,,,-0.002,-0.34,,,,,0.6212121212121212,,,
1990-01-11,10100.0,10100.0,9900.0,10000.0,133000.0,10000.0,10042.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.025,-0.023,,,,,0.0,-0.321,,,,,1.6219512195121952,,,
1990-01-12,10000.0,10100.0,9800.0,9820.0,88000.0,9820.0,9966.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0061099796334012,-0.0112016293279022,,,,,0.0081466395112016,-0.2820773930753564,,,,,0.6616541353383458,,,
1990-01-16,9820.0,9820.0,9600.0,9610.0,107000.0,9610.0,9868.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0301768990634755,0.0052029136316337,,,,,0.0104058272632674,-0.2653485952133194,,,,,1.2159090909090908,,,
1990-01-17,10200.0,10400.0,10100.0,10200.0,278000.0,10200.0,9926.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0274509803921568,0.0098039215686274,,,,,-0.0568627450980392,-0.2794117647058823,,,,,2.5981308411214954,,,
1990-01-18,10100.0,10200.0,9810.0,9810.0,41000.0,9810.0,9888.0,10005.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0040774719673802,0.0601427115188583,,,,,-0.0438328236493374,-0.2344546381243629,,-0.3130434782608696,,,0.1474820143884892,,,
1990-01-19,9800.0,9810.0,9720.0,9750.0,81000.0,9750.0,9838.0,9940.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.002051282051282,0.0564102564102564,,,,,-0.1076923076923077,-0.201025641025641,,-0.2925553319919517,,,1.975609756097561,,,
1990-01-22,9750.0,9920.0,9750.0,9760.0,45000.0,9760.0,9826.0,9896.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0051229508196721,0.0348360655737704,,,,,-0.1086065573770491,-0.1823770491803278,,-0.2762732417138238,,,0.5555555555555556,,,
1990-01-23,9780.0,9900.0,9780.0,9900.0,63000.0,9900.0,9884.0,9876.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0242424242424242,0.0404040404040404,,,,,-0.0626262626262626,-0.1666666666666666,,-0.2600243013365735,,,1.4,,,
1990-01-24,9980.0,10000.0,9910.0,9920.0,61000.0,9920.0,9828.0,9877.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0383064516129032,0.0080645161290322,,,,,-0.0554435483870967,-0.1612903225806451,,-0.2436974789915966,,,0.9682539682539684,,,
1990-01-25,9920.0,9950.0,9750.0,9770.0,79000.0,9770.0,9820.0,9854.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0644831115660184,0.0440122824974411,,,,,-0.0665301944728761,-0.1156601842374616,,-0.2212299573777146,,,1.2950819672131149,,,
1990-01-26,9800.0,9800.0,9700.0,9770.0,73000.0,9770.0,9824.0,9831.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0542476970317297,0.0214943705220061,,,,,-0.0859774820880245,-0.1555783009211873,,-0.2045570135286339,,,0.9240506329113924,,,
1990-01-29,9770.0,9770.0,9600.0,9710.0,88000.0,9710.0,9814.0,9820.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0401647785787847,0.0288362512873326,,,,,-0.082389289392379,-0.1709577754891864,,-0.1934826883910387,,,1.2054794520547945,,,
1990-01-30,9760.0,9760.0,9610.0,9660.0,124000.0,9660.0,9766.0,9825.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0662525879917184,0.0331262939958592,,,,,-0.0848861283643892,-0.175983436853002,,-0.1847328244274809,,,1.4090909090909092,,,
1990-01-31,9860.0,10300.0,9860.0,10300.0,281000.0,10300.0,9842.0,9835.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.029126213592233,-0.029126213592233,,,,,-0.1368932038834951,-0.2213592233009708,,-0.178749364514489,,,2.2661290322580645,,,
1990-02-01,10500.0,11000.0,10400.0,10400.0,615000.0,10400.0,9968.0,9894.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0192307692307692,-0.0403846153846153,,,,,-0.1461538461538461,-0.235576923076923,,-0.1791995148574894,,,2.188612099644128,,,
1990-02-02,10500.0,10500.0,10300.0,10300.0,149000.0,10300.0,10074.0,9949.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0310679611650485,-0.029126213592233,,,,,-0.1446601941747572,-0.2281553398058252,,-0.182128857171575,,,0.2422764227642276,,,
1990-02-05,10100.0,10400.0,10100.0,10100.0,86000.0,10100.0,10152.0,9983.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0108910891089108,-0.0198019801980198,,,,,-0.1435643564356435,-0.2306930693069307,,-0.187017930481819,,,0.5771812080536913,,,
1990-02-06,10200.0,10300.0,10200.0,10300.0,164000.0,10300.0,10280.0,10023.0,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0310679611650485,-0.0572815533980582,,,,,-0.1932038834951456,-0.245631067961165,,-0.1950513818218098,,,1.9069767441860463,,,
1990-02-07,10200.0,10300.0,10000.0,10000.0,114000.0,10000.0,10220.0,10031.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.038,,,,,-0.163,-0.22,,-0.2008772804306649,,,0.6951219512195121,,,
1990-02-08,10100.0,10200.0,10000.0,10200.0,35000.0,10200.0,10180.0,10074.0,9995.6,,,False,False,False,False,False,False,False,False,False,False,True,-0.0215686274509803,-0.0803921568627451,,,0.0200392156862744,,-0.1813725490196078,-0.2254901960784313,,-0.2116339090728608,,,0.3070175438596491,,,
1990-02-09,10000.0,10100.0,9980.0,9980.0,100000.0,9980.0,10116.0,10095.0,9978.8,,,False,False,False,False,False,False,False,False,False,False,False,0.002004008016032,-0.1282565130260521,,,0.0001202404809619,,-0.158316633266533,-0.2174348697394789,,-0.2176324913323427,,,2.857142857142857,-0.0016835691666333,,
1990-02-13,10100.0,10100.0,9980.0,9990.0,20000.0,9990.0,10094.0,10123.0,9970.4,,,False,False,False,False,False,False,False,False,False,False,False,-0.009009009009009,-0.1291291291291291,,,0.0019619619619619,,-0.2392392392392392,-0.2312312312312312,,-0.2234515459843919,,,0.2,-0.0008424937815934,0.0008410753850398,
1990-02-14,10000.0,10100.0,9980.0,9980.0,33000.0,9980.0,10030.0,10155.0,9965.6,,,False,False,False,False,False,False,False,False,False,False,False,-0.0270541082164328,-0.0701402805611222,,,0.001442885771543,,-0.2985971943887776,-0.2224448897795591,,-0.2278680452978828,,,1.65,-0.000481656899735,0.0003608368818584,
1990-02-15,9970.0,10100.0,9970.0,10000.0,57000.0,10000.0,10030.0,10125.0,9969.2,,,False,False,False,False,False,False,True,False,False,False,False,-0.038,-0.063,,,0.0030799999999999,,-0.3,-0.243,,-0.2300246913580247,,,1.7272727272727273,0.000361112225655,0.00084276912539,
1990-02-16,10000.0,10100.0,9980.0,9980.0,54000.0,9980.0,9986.0,10083.0,9968.4,,,False,False,False,False,False,False,False,False,False,True,False,-0.0601202404809619,-0.0861723446893787,,,0.0011623246492986,,-0.3076152304609218,-0.2354709418837675,,-0.2299910740850937,,,0.9473684210526316,-8.025360138047143e-05,-0.0004413658270355,
1990-02-19,10000.0,10100.0,10000.0,10000.0,25000.0,10000.0,9990.0,10053.0,9968.4,,,False,False,False,False,False,False,False,False,False,False,False,-0.13,-0.107,,,0.00316,,-0.212,-0.245,,-0.2316721376703471,,,0.4629629629629629,0.0,8.025360138047143e-05,
1990-02-20,10000.0,10000.0,9900.0,9900.0,44000.0,9900.0,9972.0,10033.0,9971.6,,,False,False,False,False,False,False,True,False,False,False,False,-0.1212121212121212,-0.1,,,-0.0072323232323232,,-0.2323232323232323,-0.2494949494949495,,-0.2335293531346556,,,1.76,0.0003209113883429,0.0003209113883429,
1990-02-21,9900.0,9900.0,9700.0,9710.0,73000.0,9710.0,9918.0,9974.0,9975.6,,,False,False,False,False,False,False,True,False,False,False,False,-0.0442842430484037,-0.0895983522142121,,,-0.0273532440782698,,-0.2451081359423275,-0.2121524201853759,,-0.2301985161419691,,,1.6590909090909092,0.0004009783872649,8.006699892195964e-05,
1990-02-22,9640.0,9710.0,9580.0,9620.0,68000.0,9620.0,9842.0,9936.0,9952.4,,,False,False,False,False,False,False,False,False,False,True,False,-0.0259875259875259,-0.0758835758835758,,,-0.0345530145530145,,-0.2588357588357588,-0.2151767151767152,,-0.2297705314009661,,,0.9315068493150684,-0.0023310960170411,-0.0027320744043061,
1990-02-23,9580.0,9620.0,9380.0,9380.0,83000.0,9380.0,9722.0,9854.0,9935.2,,,False,False,False,False,False,False,False,False,False,False,False,-0.0277185501066098,-0.0533049040511727,,,-0.0591897654584222,,-0.3070362473347548,-0.1791044776119403,,-0.2253907042825248,,,1.2205882352941178,-0.0017312182945485,0.0005998777224926,
1990-02-26,9250.0,9250.0,8700.0,8700.0,60000.0,8700.0,9462.0,9726.0,9893.2,,,False,False,False,False,False,False,False,False,False,True,False,0.0264367816091954,0.0126436781609195,,,-0.1371494252873564,,-0.3206896551724137,-0.1379310344827586,,-0.2183837137569401,,,0.7228915662650602,-0.0042453402336958,-0.0025141219391473,
1990-02-27,9000.0,9000.0,8700.0,8700.0,38000.0,8700.0,9222.0,9597.0,9850.8,,,False,False,False,False,False,False,False,False,False,True,False,0.0241379310344827,-0.0057471264367816,,,-0.1322758620689654,,-0.3448275862068966,-0.1494252873563218,,-0.2107950401167031,,,0.6333333333333333,-0.0043042189466846,-5.887871298880954e-05,
1990-02-28,8900.0,9280.0,8900.0,9280.0,48000.0,9280.0,9136.0,9527.0,9826.0,,,False,False,False,False,False,False,False,False,False,False,False,-0.0474137931034482,-0.1045258620689655,,,-0.0588362068965517,,-0.4709051724137931,-0.2155172413793103,,-0.2100346383961372,,,1.263157894736842,-0.0025239161408507,0.0017803028058339,
1990-03-01,9400.0,9400.0,9300.0,9370.0,41000.0,9370.0,9086.0,9464.0,9804.0,,,False,False,False,False,False,False,False,False,False,False,False,-0.0512273212379935,-0.1067235859124866,,,-0.0463180362860192,,-0.4482390608324439,-0.2198505869797225,,-0.2075232459847844,,,0.8541666666666666,-0.0022439820481436,0.0002799340927071,
1990-03-02,9170.0,9210.0,9110.0,9120.0,33000.0,9120.0,9034.0,9378.0,9778.0,,,False,False,False,False,False,False,False,False,False,True,False,-0.0263157894736842,-0.0844298245614035,,,-0.0721491228070175,,-0.2817982456140351,-0.219298245614035,,-0.2056941778630838,,,0.8048780487804879,-0.00265903047658,-0.0004150484284364,
