日付,始値,高値,安値,終値,出来高,終値調整値
2021-01-04,1909.0,2040.0,1795.0,2011.0,412900.0,2011.0
2021-01-05,1945.0,2199.0,1935.0,2189.0,470100.0,2189.0
2021-01-06,2289.0,2305.0,2111.0,2171.0,729800.0,2171.0
2021-01-07,2150.0,2178.0,2002.0,2004.0,209700.0,2004.0
2021-01-08,2023.0,2050.0,1902.0,1926.0,167800.0,1926.0
2021-01-12,1903.0,1960.0,1845.0,1960.0,112200.0,1960.0
2021-01-13,1930.0,1947.0,1877.0,1886.0,60400.0,1886.0
2021-01-14,1910.0,1980.0,1834.0,1840.0,128500.0,1840.0
2021-01-15,1812.0,1874.0,1801.0,1864.0,62200.0,1864.0
2021-01-18,1826.0,1876.0,1826.0,1876.0,34600.0,1876.0
2021-01-19,1890.0,1908.0,1865.0,1879.0,32000.0,1879.0
2021-01-20,1900.0,1966.0,1878.0,1904.0,88800.0,1904.0
2021-01-21,2250.0,2285.0,2066.0,2085.0,1592500.0,2085.0
2021-01-22,2131.0,2179.0,2063.0,2105.0,330500.0,2105.0
2021-01-25,2075.0,2090.0,2006.0,2022.0,174100.0,2022.0
2021-01-26,2040.0,2047.0,1980.0,1985.0,117200.0,1985.0
2021-01-27,2000.0,2025.0,1950.0,1950.0,110500.0,1950.0
2021-01-28,1873.0,1946.0,1855.0,1875.0,111700.0,1875.0
2021-01-29,1906.0,1936.0,1808.0,1812.0,111300.0,1812.0
2021-02-01,1815.0,1870.0,1815.0,1839.0,44300.0,1839.0
2021-02-02,1870.0,1898.0,1860.0,1882.0,42300.0,1882.0
2021-02-03,1903.0,1972.0,1903.0,1949.0,76700.0,1949.0
2021-02-04,1967.0,1968.0,1897.0,1908.0,33700.0,1908.0
2021-02-05,1912.0,1924.0,1882.0,1894.0,33800.0,1894.0
2021-02-08,1880.0,1899.0,1870.0,1872.0,34300.0,1872.0
2021-02-09,1865.0,1875.0,1852.0,1863.0,32800.0,1863.0
2021-02-10,1863.0,1910.0,1845.0,1900.0,39500.0,1900.0
2021-02-12,1905.0,1934.0,1881.0,1896.0,48300.0,1896.0
2021-02-15,1880.0,1923.0,1800.0,1923.0,149900.0,1923.0
2021-02-16,1948.0,1975.0,1886.0,1927.0,91300.0,1927.0
2021-02-17,1926.0,1926.0,1893.0,1907.0,48600.0,1907.0
2021-02-18,1901.0,1913.0,1887.0,1900.0,28000.0,1900.0
2021-02-19,1900.0,2019.0,1894.0,2007.0,139900.0,2007.0
2021-02-22,2088.0,2115.0,2007.0,2009.0,294100.0,2009.0
2021-02-24,2010.0,2020.0,1900.0,1902.0,148900.0,1902.0
2021-02-25,1919.0,1925.0,1876.0,1884.0,59500.0,1884.0
2021-02-26,1857.0,1870.0,1831.0,1856.0,63300.0,1856.0
2021-03-01,1880.0,1880.0,1856.0,1873.0,17700.0,1873.0
2021-03-02,1875.0,1886.0,1839.0,1846.0,33200.0,1846.0
2021-03-03,1865.0,1870.0,1820.0,1835.0,29000.0,1835.0
2021-03-04,1821.0,1835.0,1800.0,1805.0,47000.0,1805.0
2021-03-05,1800.0,1811.0,1710.0,1745.0,93100.0,1745.0
2021-03-08,1751.0,1795.0,1682.0,1683.0,53600.0,1683.0
2021-03-09,1668.0,1684.0,1625.0,1676.0,57000.0,1676.0
2021-03-10,1700.0,1714.0,1678.0,1704.0,15400.0,1704.0
2021-03-11,1701.0,1706.0,1680.0,1699.0,11900.0,1699.0
