日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）
2021-01-04,691.0,691.0,668.2999877929688,670.2000122070312,5352700.0,662.3697509765625,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.09967171974973583,0.0853476740751858,0.0708743645700304,0.2264995300329482,,,0.10489404134963282,0.3322888811560288,,
2021-01-05,670.5,682.9000244140625,670.2999877929688,677.4000244140625,5103800.0,669.4856567382812,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.10540295365454967,0.07012104855042861,0.1186890470641045,0.2142013143732111,,,0.08798342698243965,0.3092707299224167,,
2021-01-06,681.5,701.9000244140625,680.5999755859375,697.7999877929688,8219000.0,689.6472778320312,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.08010895011744763,0.045571780380144596,0.048724563764377,0.2110919896385429,,,0.05316715000015307,0.28905132664873867,,
2021-01-07,719.2000122070312,733.2999877929688,716.0999755859375,728.0,9862200.0,719.4944458007812,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.019230769230769232,-0.007829687097570398,0.0130494505494505,0.1877747420426253,,,0.017994471958705356,0.22815930712354052,,
2021-01-08,729.7000122070312,731.7000122070312,722.2000122070312,727.0,7838500.0,718.506103515625,700.0800048828125,,,,,False,False,False,False,False,False,False,False,False,False,False,0.004951823364425722,-0.011691884456671253,0.0231086489586915,0.1828060858515302,,,0.04030259668909044,0.23906463245250173,,
2021-01-12,720.2000122070312,737.5999755859375,715.7000122070312,737.0,6037700.0,728.3892822265625,713.4400024414062,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.013025747063687245,-0.042740841248303935,0.0047489823609226,0.1900949465209464,,,0.07218454844916045,0.23283578776925049,,
2021-01-13,735.0,750.0,729.2999877929688,748.7999877929688,5350400.0,740.0513916015625,727.7199951171875,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.03191768665668596,-0.04326918256823519,-0.0157585309633194,0.2126068573749062,,,0.038194493973471064,0.24492525027226586,,
2021-01-14,751.5,764.2000122070312,749.7999877929688,753.7000122070312,7054200.0,744.8941650390625,738.9,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.03197563517416236,-0.0610322399561862,-0.0249435949163878,0.2075095672626119,,,0.024810948526155268,0.2694705748925325,,
2021-01-15,750.0,754.0,740.5,742.0,6119200.0,733.3308715820312,741.7,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.026549881680635108,-0.06428573073723888,-0.00121297090844,0.2502695582305003,,,0.06010778380854111,0.33773581615355475,,
2021-01-18,731.7000122070312,732.9000244140625,718.7000122070312,730.5999755859375,5419600.0,722.0640258789062,742.4199951171875,721.25,,,,False,False,False,False,False,False,False,False,False,False,False,-0.016561697221839325,-0.037503372973605176,0.0351765850887415,0.2528059381043679,,,0.07486998909788098,0.34697510056264974,,0.2822876865115902
2021-01-19,732.7999877929688,740.0,725.0999755859375,727.4000244140625,6492600.0,718.9014892578125,740.5,726.9700012207031,,,,False,False,False,False,False,False,False,False,False,False,False,-0.030107263787492275,-0.013335182680045734,0.0863348717145776,0.2601044058587708,,,0.13280172167130597,0.29323615704410627,,0.27877352726354365
2021-01-20,726.0999755859375,727.5999755859375,718.7999877929688,724.9000244140625,4826700.0,716.4306640625,735.7200073242187,731.7200012207031,,,,False,False,False,False,False,False,False,False,False,False,False,-0.011725754881675663,0.045385518376136524,0.0724237801515261,0.2903848708932618,,,0.09215062152462093,0.2696923622785401,,0.27505055365347814
2021-01-21,730.7999877929688,738.0,726.7999877929688,729.5999755859375,5683800.0,721.0757446289062,730.9,734.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0300163981794524,0.003015367709222349,0.0586623495892424,0.3045504655185654,,,0.11787281096183412,0.2727522021093605,,0.27349297895547015
2021-01-22,720.0999755859375,727.7000122070312,719.7999877929688,722.2999877929688,3960200.0,713.8610229492188,726.9599975585937,734.3299987792968,,,,False,False,False,False,False,False,False,False,False,False,False,-0.03876505672602279,0.02104390483720733,0.0890211669384645,0.2863076163476877,,,0.10203518406836208,0.2764779393354646,,0.2782808740432541
2021-01-25,723.5999755859375,725.9000244140625,716.4000244140625,718.5,3602700.0,710.1054077148438,724.5400024414063,733.4799987792969,,,,False,False,False,False,False,False,False,False,False,False,False,-0.021294346267179888,0.03521223074873869,0.0929714513472077,0.2594294007154661,,,0.15379262352122477,0.31579683286577925,,0.2858428285809059
2021-01-26,716.9000244140625,724.0,703.0,705.5,5960300.0,697.25732421875,720.1599975585938,730.3299987792968,,,,False,False,False,False,False,False,False,False,False,False,False,0.017292717515281716,0.04961020552799433,0.1679659815733522,0.3094259217476524,,,0.16513111268603828,0.31679659815733524,,0.29418208256419565
2021-01-27,709.2000122070312,717.7999877929688,708.0999755859375,716.4000244140625,5939100.0,708.0299682617188,718.4599975585937,727.0900024414062,,,,False,False,False,False,False,False,False,False,False,False,False,0.05778889163601987,0.02875485048005972,0.1051088571005507,0.3114181574301439,,,0.1481015800812064,0.2734505258275656,,0.29721216516644267
