日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率
2021-01-04,5150.0,5160.0,5090.0,5140.0,59200,5117.296875,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0019455252918287938,-0.011673151750972763,0.10311284046692606,0.038910505836575876
2021-01-05,5120.0,5150.0,5070.0,5130.0,65800,5107.34130859375,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.001949317738791423,0.001949317738791423,0.08966861598440545,0.037037037037037035
2021-01-06,5060.0,5120.0,5020.0,5020.0,63700,4997.8271484375,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.025896414342629483,0.029880478087649404,0.08366533864541832,0.04183266932270916
2021-01-07,5020.0,5100.0,5020.0,5060.0,63700,5037.650390625,,,,,,False,False,False,False,False,False,False,False,False,False,False,0.001976284584980237,0.021739130434782608,0.09683794466403162,0.06126482213438735
2021-01-08,5090.0,5180.0,5080.0,5180.0,58400,5157.1201171875,5106.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.015444015444015444,0.005791505791505791,0.10617760617760617,0.02702702702702703
2021-01-12,5160.0,5170.0,5110.0,5130.0,55400,5107.34130859375,5104.0,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.009746588693957114,0.07797270955165692,0.1267056530214425,0.0935672514619883
2021-01-13,5140.0,5170.0,5130.0,5140.0,41000,5117.296875,5106.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.0,0.08949416342412451,0.14785992217898833,0.09922178988326848
2021-01-14,5140.0,5180.0,5100.0,5150.0,49400,5127.2529296875,5132.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.003883495145631068,0.05825242718446602,0.1436893203883495,0.10485436893203884
2021-01-15,5130.0,5150.0,5070.0,5070.0,43000,5047.60595703125,5134.0,,,,,False,False,False,False,False,False,False,False,False,False,False,0.01972386587771203,0.0650887573964497,0.16568047337278108,0.14990138067061143
2021-01-18,5060.0,5140.0,5020.0,5100.0,45000,5077.4736328125,5118.0,5112.0,,,,False,False,False,False,False,False,False,False,False,False,False,0.021568627450980392,0.0803921568627451,0.1411764705882353,0.13333333333333333
