日付,始値,高値,安値,終値,出来高,終値調整値,5日平均,10日平均,25日平均,75日平均,200日平均,ゴールデンクロス（25日）,ゴールデンクロス_A（25日）,デッドクロス（25日）,ゴールデンクロス（終値）,ゴールデンクロス_A（終値）,デッドクロス（終値）,25日平均上昇場,75日平均上昇場,25日平均急上昇ポイント,25日平均上昇陰りポイント,10日平均急上昇ポイント,5営業日後騰落率,10営業日後騰落率,20営業日後騰落率,40営業日後騰落率,乖離率（25日平均）,乖離率（75日平均）,25営業日後騰落率,75営業日後騰落率,75日平均変動率,75営業日後騰落率（10日平均）,40営業日前株価,60営業日前株価,出来高変化率
1992-09-03,980.0,990.0,980.0,990.0,27000.0,891.9,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.07575757575757576,-0.16161616161616163,,,,,-0.1111111111111111,-0.23232323232323232,,,,,1.0
1992-09-04,990.0,990.0,990.0,990.0,12000.0,891.9,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.12626262626262627,-0.16161616161616163,,,,,-0.1111111111111111,-0.24242424242424243,,,,,0.4444444444444444
1992-09-07,990.0,990.0,990.0,990.0,1000.0,891.9,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.18282828282828284,-0.15151515151515152,,,,,-0.11616161616161616,-0.23232323232323232,,,,,0.08333333333333333
1992-09-09,987.0,987.0,987.0,987.0,1000.0,889.2,,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.1894630192502533,-0.14893617021276595,,,,,-0.14387031408308004,-0.22998986828774062,,,,,1.0
1992-09-10,987.0,987.0,982.0,985.0,31000.0,887.4,988.4,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.13705583756345177,-0.15736040609137056,,,,,-0.13705583756345177,-0.22842639593908629,,,,,31.0
1992-09-16,915.0,915.0,915.0,915.0,3000.0,824.3,973.4,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.09289617486338798,-0.09289617486338798,,,,,-0.08196721311475409,-0.20218579234972678,,,,,0.0967741935483871
1992-09-22,865.0,865.0,865.0,865.0,17000.0,779.3,948.4,,,,,False,False,False,False,False,False,False,False,False,False,False,-0.04046242774566474,-0.04161849710982659,,,,,-0.017341040462427744,-0.15491329479768787,,,,,5.666666666666667
1992-09-24,859.0,859.0,809.0,809.0,9000.0,728.8,912.2,,,,,False,False,False,False,False,False,False,False,False,False,False,0.038318912237330034,0.02595797280593325,,,,,0.038318912237330034,-0.09765142150803462,,,,,0.5294117647058824
1992-09-25,800.0,800.0,800.0,800.0,7000.0,720.7,874.8,,,,,False,False,False,False,False,False,False,False,False,False,False,0.05,0.0375,,,,,0.05625,-0.08625,,,,,0.7777777777777778
1992-09-28,830.0,850.0,830.0,850.0,6000.0,765.8,847.8,918.1,,,,False,False,False,False,False,False,False,False,False,False,False,-0.023529411764705882,-0.024705882352941175,,,,,-0.01764705882352941,-0.1423529411764706,,-0.18952183857967542,,,0.8571428571428571
1992-09-29,850.0,850.0,830.0,830.0,8000.0,747.8,830.8,902.1,,,,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.007228915662650603,,,,,0.012048192771084338,-0.12048192771084337,,-0.1784724531648376,,,1.3333333333333333
1992-09-30,840.0,840.0,830.0,830.0,5000.0,747.8,823.8,886.1,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0012048192771084338,0.0,,,,,0.012048192771084338,-0.12048192771084337,,-0.16589549712222096,,,0.625
1992-10-01,830.0,840.0,830.0,840.0,2000.0,756.8,830.0,871.1,,,,False,False,False,False,False,False,False,False,False,False,False,-0.011904761904761904,-0.010714285714285714,,,,,0.011904761904761904,-0.1380952380952381,,-0.15566525083228105,,,0.4
1992-10-02,840.0,840.0,815.0,840.0,6000.0,756.8,838.0,856.4,,,,False,False,False,False,False,False,False,False,False,False,False,-0.011904761904761904,0.0,,,,,-0.011904761904761904,-0.14047619047619048,,-0.14560952825782336,,,3.0
1992-10-06,830.0,845.0,830.0,830.0,12000.0,747.8,834.0,840.9,,,,False,False,False,False,False,False,False,False,False,False,False,-0.0012048192771084338,0.012048192771084338,,,,,0.0,-0.11927710843373494,,-0.1333095492924248,,,2.0
1992-10-07,829.0,830.0,829.0,830.0,2000.0,747.8,834.0,832.4,,,,False,False,False,False,False,False,False,False,False,False,False,-0.007228915662650603,0.060240963855421686,,,,,0.0,-0.1180722891566265,,-0.12421912542047091,,,0.16666666666666666
1992-10-08,829.0,829.0,829.0,829.0,1000.0,746.9,833.8,828.8,,,,False,False,False,False,False,False,False,False,False,False,False,0.0012062726176115801,0.061519903498190594,,,,,0.0012062726176115801,-0.06875753920386007,,-0.11546814671814665,,,0.5
1992-10-12,830.0,830.0,830.0,830.0,14000.0,747.8,831.8,830.9,,,,False,False,False,False,False,False,False,False,False,False,True,0.0012048192771084338,0.05421686746987952,,,,,-0.012048192771084338,-0.06987951807228916,,-0.11264893488987847,,,14.0
1992-10-13,825.0,830.0,825.0,830.0,4000.0,747.8,829.8,833.9,,,,False,False,False,False,False,False,False,False,False,False,False,0.012048192771084338,0.018072289156626505,,,,,0.0,-0.10722891566265061,,-0.1146420434104809,,,0.2857142857142857
1992-10-14,830.0,830.0,829.0,829.0,13000.0,746.9,829.6,831.8,,,,False,False,False,False,False,False,False,False,False,False,False,0.013268998793727383,0.025331724969843185,,,,,0.0012062726176115801,-0.10615199034981906,,-0.11096417408030772,,,3.25
1992-10-15,825.0,825.0,824.0,824.0,3000.0,742.3,828.4,831.2,,,,False,False,False,False,False,False,False,False,False,False,False,0.06796116504854369,0.019417475728155338,,,,,0.03155339805825243,-0.09951456310679611,,-0.10887872954764195,,,0.23076923076923078
